company;bangdan_name;ranking;subject;price;unit;chengjiaov;saleVolume;odUrl
淮安经济技术开发区雅漾服装厂;男式棉服榜;49;爸爸装冬季新款可脱卸内搭大衣加绒保暖白鸭绒外套中年男装羽绒服;260.0;件;0;100;https://detail.1688.com/offer/843021258267.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
义乌市泓绣针织有限公司;运动瑜伽上衣榜;139;户外运动羽绒服瑜伽健身白鹅绒羽绒服女秋冬新款薄款修身防风外套;135.0;件;0;9000;https://detail.1688.com/offer/740128877111.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市潮派服装贸易商行;未上榜;0;2025新tb四条杠设计感小众针织拼接学院风90白鸭绒羽绒服女小个子;248.0;件;0;1000;https://detail.1688.com/offer/803036237519.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
盛世保罗服装（山东）有限公司;未上榜;0;冲锋衣三合一定制印logo可拆卸羽绒内胆外套加绒餐饮工服广告风衣;42.00;件;销70+件;100;https://detail.1688.com/offer/990621314050.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
上海璨曦贸易有限公司;显瘦阔腿裤榜;133;2025冬季新中式国风香云纱提花木耳花边复古高级感羽绒服轻奢套;259.9;条;成交0.2万+元;1;https://detail.1688.com/offer/1004119870153.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
嘉兴市彧言服饰有限公司;未上榜;0;彧言冬季滑雪服修身显瘦收腰毛领连帽90羽绒服女短款户外束腰外套;495.0;件;0;100;https://detail.1688.com/offer/990672442072.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
广州市黄埔区梅姿服装商行;未上榜;0;小香风轻薄羽绒棉服女冬季2025新款小个子高端洋气短款面包服外套;132.0;件;0;89;https://detail.1688.com/offer/992694246397.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
苏州琬琰阁服饰有限公司;未上榜;0;跨境爸爸外套2025冬季厚款中年男士羽绒服短款立领中老年人防;156.0;件;0;5;https://detail.1688.com/offer/1001618955898.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
义乌义昂电子商务有限公司;运动背心榜;89;新款秋冬季户外运动鹅绒服保暖棉服 骑行修身运动外套羽绒服;160.0;件;0;66;https://detail.1688.com/offer/747156536715.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
义乌市洛诗服饰有限公司;未上榜;0;冬季新款运动羽绒服女修身超轻短款高级感外套瑜伽跑步轻薄羽绒服;80.00;件;0;15;https://detail.1688.com/offer/981443344482.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市当湖街道赵娟林服装店;未上榜;0;2025年冬季新款长款风衣休闲宽松双面穿加厚宽松羽绒服女  25105;438.0;件;0;100;https://detail.1688.com/offer/998223391840.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
滁州盛宏服装有限公司;吊带榜;197;25冬季新款加厚撞色白鸭绒云朵羽绒服连帽拼接针织面包服29033;798.0;件;0;24;https://detail.1688.com/offer/993889304189.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
杭州横瑞服饰有限公司;未上榜;0;休闲时尚蛋白皮立领羽绒服女2025冬季新款加厚保暖白鸭绒短款外套;365.0;件;0;14;https://detail.1688.com/offer/862235761143.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
义乌市赛诗贸易有限公司;健身服榜;164;白鹅绒修身保暖羽绒服外套女轻薄拼接高领防风跑步外穿瑜伽服上衣;132.0;件;0;12;https://detail.1688.com/offer/993139404106.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
咖乐思邯郸肥乡服装有限公司;未上榜;0;棕色绵羊皮羽绒服女2025新款真皮白鸭绒狐狸毛领加厚皮衣短款皮草;488.0;件;0;45;https://detail.1688.com/offer/993352997265.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
橘与桔户外用品(杭州)有限公司;未上榜;0;新款冬季平湖羽绒服女轻薄超轻保暖白鹅绒服外套短款排骨羽绒服;139.0;件;0;200;https://detail.1688.com/offer/850450801304.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
桐乡市圣吉贸易有限公司;拉链毛衣榜;98;TB 白鸭绒90绒秋冬季女士针织袖羽绒服翻领外套经典四杠加厚保暖;360.0;件;0;400;https://detail.1688.com/offer/842476495432.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市吻意服饰店;带帽子羽绒服榜;6;2025新款连帽真狐狸毛领90白鸭绒收腰显瘦小个子羽绒服女冬季外套;429.0;件;0;500;https://detail.1688.com/offer/999648388205.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市新埭镇梁承兵时尚服装店;通勤风羽绒服榜;36;2025冬季新款90白鸭绒短款大毛领可拆卸帽羽绒服女收腰显瘦厚外套;398.0;件;0;6000;https://detail.1688.com/offer/984245118041.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市汐盛服装有限公司;未上榜;0;意奢！新国标90%白鹅绒高蓬加厚短款连帽羽绒服2024冬新款015;550.0;件;0;96;https://detail.1688.com/offer/831485522790.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
广州本己贸易有限公司;未上榜;0;CZ ZHANG冬小个子90白鸭绒羽绒服外套女短款抽绳通勤面包服B48165;451.8;件;0;17;https://detail.1688.com/offer/993985215966.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
广州和橙服饰有限公司;未上榜;0;欧玛莱 甜美风中长款羽绒服外套女收腰显瘦毛领围脖长袖上衣 5952;203.6;件;0;91;https://detail.1688.com/offer/1001547555757.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
广州全星服装有限公司;瑜伽裤榜;158;三防运动羽绒服女户外跑步防风保暖内胆上衣轻薄修身立领排骨外套;109.9;件;0;1万;https://detail.1688.com/offer/735792787162.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
盛世保罗服装（山东）有限公司;未上榜;0;冲锋衣三合一定制印logo可拆卸羽绒内胆外套加绒餐饮工服广告风衣;42.00;件;销70+件;100;https://detail.1688.com/offer/990621314050.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
上海璨曦贸易有限公司;显瘦阔腿裤榜;133;2025冬季新中式国风香云纱提花木耳花边复古高级感羽绒服轻奢套;259.9;条;成交0.2万+元;1;https://detail.1688.com/offer/1004119870153.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
广州启诚服饰有限公司;未上榜;0;砖红羽绒服男冬季2025新款加厚保暖连帽男士短款潮牌工装外套大码;348.0;件;0;100;https://detail.1688.com/offer/851266914879.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
衣尔衫(广州)商贸有限公司;未上榜;0;衣尔衫 雪季初遇 【带围巾】白鸭绒保暖羽绒服女韩系面包服0312;209.0;件;0;55;https://detail.1688.com/offer/1000900274925.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市一叶舟服饰有限公司;未上榜;0;高级感白鸭绒短款羽绒服女2025新款冬季加厚甜美撞色韩系面包服;155.0;件;0;500;https://detail.1688.com/offer/846794283401.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
from anna品牌旗舰店;休闲风上衣榜;145;苏奈 【两面穿】圆领白鸭绒中长款过膝韩系羽绒服保暖fromanna;349.0;件;0;40;https://detail.1688.com/offer/996810517932.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
